0,1,2,3,4,5
"HP 14s-dr3001TU Laptop (Intel Pentium Silver N6000/8 GB/256 GB SSD/UHD Graphics/Windows 11 Home/MSO/HD), 35.6 cm (14 inch)",Intel Pentium Silver N6000, 8 GB, Windows 11 Home,256 gb ssd,29999
"Lenovo L2IN IdeaPad 3 Laptop (11th Gen Intel Core i3-1115G4 /8GB/256GB SSD/Intel UHD Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",Intel Core i3-1115G4 Processor, 8GB, Windows 11,256 gb ssd,34990
"HP 15s-fq2670TU Laptop (11th Gen Intel Core i3-1115G4/8 GB RAM/256 GB SSD/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 Processor, 8 GB, Windows 11 Home,256 gb ssd,35999
"Lenovo LJIN IdeaPad 3 Laptop (11th Gen Intel Core i3-1115G4/8GB/512GB SSD/Intel UHD Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 Processor, 8 GB, Windows 11,512 gb ssd,40990
"Lenovo IdeaPad 3 Thin and Light Laptop (11th Gen Intel Core i3-1115G4/8 GB/512 GB SSD/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",11th Gen Intel Core i3-1115G4 Dual-core, 8 GB, Windows 11 Home,512 gb ssd,40990
"HP 15s-fq2672TU Laptop (11th Gen Intel Core i3-1115G4/8GB RAM/512GB SSD/UHD Graphics/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 Inch), Natural Silver",11th Gen Intel Core i3-1115G4, 8 GB,,512 gb ssd,40990
"Asus EK522WS Laptop (11th Gen Intel Core i5-1135G7/8 GB/512 GB SSD/Iris Xe Graphics/Windows 11 Home/MSO/FHD), 35.56 cm (14 Inch)",11th Gen Intel Core i5-1135G7, 8 GB, Windows 11 Home,512 gb ssd,44990
"HP 15s-fq5111TU Laptop (12th Gen Intel Core i5-1235U/8 GB RAM/512 GB SSD/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 inch)",12th Gen Intel Core i5-1235U 10-cores, 8 GB, Windows 11 Home,512 gb ssd,63999
"HP 15s-fr5007TU Laptop (12th Gen Intel Core i5-1235U/8GB RAM/512GB SSD/Iris Xe Graphics/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 Inch), Natural Silver",12th Gen Intel Core i5-1235U, 8 GB,,512 gb ssd,59490
"Asus EK562WS Laptop (11th Gen Intel Core i5-1135G7/8GB+32GB Intel Optane/512GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 35.56 cm (14 inch)",Intel Core i5-1135G7 Processor, 8GB + 32 GB Intel Optane, Windows 11,512 gb ssd,44990
"Apple MGN63HNA MacBook Air (Apple M1 Chip/8GB/256GB SSD/macOS Big Sur/Retina), 33.78 cm (13.3 inch)",Octa-core Apple M1 Chip Processor, 8GB, MacOS,256 gb ssd,85990
"Apple MGND3HNA MacBook Air (Apple M1 Chip/8GB/256GB SSD/macOS Big Sur/Retina), 33.78 cm (13.3 inch)",Octa-core Apple M1 Chip, 8 GB, MacOS,256 gb ssd,85990
"Apple MNEH3HNA MacBook Pro (Apple M2 chip/8GB/256GB/macOS Monterey/Retina), 33.74 cm (13.3 inch) ",Octa-core Apple M2 Chip Processor, 8GB, MacOS,256 gb ssd,129900
"Lenovo 64IN IdeaPad 3 Laptop(12th Gen Intel Core i5-1235U/8 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",12th Gen Intel Core i5-1235U Processor, 8 GB, Windows 11,512 gb ssd,56990
"Dell Inspiron 5320 Thin and Light Laptop (12th Gen Intel Core i5-1240P/16 GB RAM/512 GB SSD/Windows 11 Home/MSO/FHD), 33.78 cm (13.3 Inch)","12th Gen Intel Core i5-1240P, 12 Core", 16 GB, Windows 11 Home,512 gb ssd,78199
"Asus Vivobook 14 Laptop (11th Gen Intel Core i3-1115G4/8 GB RAM/512 GB SSD/UHD Graphics/Windows 11 Home/MSO/FHD), 35.56 cm (14 Inch)",11th Gen Intel Core i3-1115G4 Processor, 8 GB, Windows 11,512 gb ssd,34990
"Acer One 14 Laptop (AMD Ryzen 5 3500U/16 GB/512 GB SSD/Radeon Graphics/Windows 11 Home/HD/MSO), 35.56 cm (14 Inch)",AMD Ryzen 5 3500U, 16 GB, Windows 11 Home,512 gb ssd,39990
HP 15s-eq2144au Laptop (AMD Ryzen 5 5500U Processor/8GB/512GB SSD/AMD Radeon Graphics/Windows 11/MSO/FHD) 39.6 cm (15.6 inch),AMD Ryzen 5 5500U Processor, 8 GB, Windows 11,512 gb ssd,45490
"Acer A315-23 Aspire 3 Laptop (AMD Ryzen 3-3250U/4 GB/256 GB SSD/AMD Radeon Graphics/Windows 11/ Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 3-3250U Processor, 4GB, Window 11,256 gb ssd,25990
"Lenovo 6CIN IdeaPad 3 Laptop (12th Gen Intel Core i3-1215U/8GB/512GB SSD/Intel UHD Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",12th Gen Intel Core i3-1215U Processor,, Windows 11 Home,512gb ssd,43990
"Apple MLY33HNA MacBook Air (Apple M2 Chip/8GB/256GB SSD/macOS/Liquid Retina), 34.46 cm (13.6 inch), Midnight",Apple M2 Chip Processor, 8GB, macOS Monterey,256 gb ssd,119900
"Apple MLXW3HNA MacBook Air (Apple M2 Chip/8GB/256GB SSD/macOS Monterey/Liquid Retina), 34.46 cm (13.6-inch), Space Grey",Apple M2 Chip Processor, 8GB, macOS Monterey,256 gb ssd,119900
