0,1,2,3,4,5,brand_name,processor_brand
"HP 14s-dr3001TU Laptop (Intel Pentium Silver N6000/8 GB/256 GB SSD/UHD Graphics/Windows 11 Home/MSO/HD), 35.6 cm (14 inch)",Intel Pentium Silver N6000,8 ,Windows 11,256 gb ssd,29999.0,hp,intel pentium
"Lenovo L2IN IdeaPad 3 Laptop (11th Gen Intel Core i3-1115G4 /8GB/256GB SSD/Intel UHD Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",Intel Core i3-1115G4 Processor,8 ,Windows 11,256 gb ssd,34990.0,lenovo,intel i3
"HP 15s-fq2670TU Laptop (11th Gen Intel Core i3-1115G4/8 GB RAM/256 GB SSD/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 Processor,8 ,Windows 11,256 gb ssd,35999.0,hp,intel i3 11th
"Lenovo LJIN IdeaPad 3 Laptop (11th Gen Intel Core i3-1115G4/8GB/512GB SSD/Intel UHD Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 Processor,8 ,Windows 11,512 gb ssd,40990.0,lenovo,intel i3 11th
"Lenovo IdeaPad 3 Thin and Light Laptop (11th Gen Intel Core i3-1115G4/8 GB/512 GB SSD/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",11th Gen Intel Core i3-1115G4 Dual-core,8 ,Windows 11,512 gb ssd,40990.0,lenovo,intel i3 11th
"HP 15s-fq2672TU Laptop (11th Gen Intel Core i3-1115G4/8GB RAM/512GB SSD/UHD Graphics/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 Inch), Natural Silver",11th Gen Intel Core i3-1115G4,8 ,nan,512 gb ssd,40990.0,hp,intel i3 11th
"Asus EK522WS Laptop (11th Gen Intel Core i5-1135G7/8 GB/512 GB SSD/Iris Xe Graphics/Windows 11 Home/MSO/FHD), 35.56 cm (14 Inch)",11th Gen Intel Core i5-1135G7,8 ,Windows 11,512 gb ssd,44990.0,asus,intel i5 11th
"HP 15s-fq5111TU Laptop (12th Gen Intel Core i5-1235U/8 GB RAM/512 GB SSD/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 inch)",12th Gen Intel Core i5-1235U 10-cores,8 ,Windows 11,512 gb ssd,63999.0,hp,intel i5 12th
"HP 15s-fr5007TU Laptop (12th Gen Intel Core i5-1235U/8GB RAM/512GB SSD/Iris Xe Graphics/Windows 11 Home/MSO/FHD), 39.6 cm (15.6 Inch), Natural Silver",12th Gen Intel Core i5-1235U,8 ,nan,512 gb ssd,59490.0,hp,intel i5 12th
"Asus EK562WS Laptop (11th Gen Intel Core i5-1135G7/8GB+32GB Intel Optane/512GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 35.56 cm (14 inch)",Intel Core i5-1135G7 Processor,8 ,Windows 11,512 gb ssd,44990.0,asus,intel i5
"Apple MGN63HNA MacBook Air (Apple M1 Chip/8GB/256GB SSD/macOS Big Sur/Retina), 33.78 cm (13.3 inch)",Octa-core Apple M1 Chip Processor,8 ,macos,256 gb ssd,85990.0,apple,apple m1
"Apple MGND3HNA MacBook Air (Apple M1 Chip/8GB/256GB SSD/macOS Big Sur/Retina), 33.78 cm (13.3 inch)",Octa-core Apple M1 Chip,8 ,macos,256 gb ssd,85990.0,apple,apple m1
"Apple MNEH3HNA MacBook Pro (Apple M2 chip/8GB/256GB/macOS Monterey/Retina), 33.74 cm (13.3 inch) ",Octa-core Apple M2 Chip Processor,8 ,macos,256 gb ssd,129900.0,apple,apple m2
"Lenovo 64IN IdeaPad 3 Laptop(12th Gen Intel Core i5-1235U/8 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",12th Gen Intel Core i5-1235U Processor,8 ,Windows 11,512 gb ssd,56990.0,lenovo,intel i5 12th
"Dell Inspiron 5320 Thin and Light Laptop (12th Gen Intel Core i5-1240P/16 GB RAM/512 GB SSD/Windows 11 Home/MSO/FHD), 33.78 cm (13.3 Inch)","12th Gen Intel Core i5-1240P, 12 Core",16,Windows 11,512 gb ssd,78199.0,dell,intel i5 12th
"Asus Vivobook 14 Laptop (11th Gen Intel Core i3-1115G4/8 GB RAM/512 GB SSD/UHD Graphics/Windows 11 Home/MSO/FHD), 35.56 cm (14 Inch)",11th Gen Intel Core i3-1115G4 Processor,8 ,Windows 11,512 gb ssd,34990.0,asus,intel i3 11th
"Acer One 14 Laptop (AMD Ryzen 5 3500U/16 GB/512 GB SSD/Radeon Graphics/Windows 11 Home/HD/MSO), 35.56 cm (14 Inch)",AMD Ryzen 5 3500U,16,Windows 11,512 gb ssd,39990.0,acer,amd ryzen  5 
HP 15s-eq2144au Laptop (AMD Ryzen 5 5500U Processor/8GB/512GB SSD/AMD Radeon Graphics/Windows 11/MSO/FHD) 39.6 cm (15.6 inch),AMD Ryzen 5 5500U Processor,8 ,Windows 11,512 gb ssd,45490.0,hp,amd ryzen  5 
